

*******************************************************************************
Ephemeris / WWW_USER Sun Sep  8 01:45:47 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 4 (position, LT, range, and range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************
$$SOE
2458886.500000000, A.D. 2020-Feb-07 00:00:00.0000, -1.085616961775428E+08,  9.987264014225948E+07, -4.366342936590314E+03,  4.920515454092815E+02,  1.475133422609471E+08,  2.764498948069845E-01,
2458887.500000000, A.D. 2020-Feb-08 00:00:00.0000, -1.103284501748212E+08,  9.795401296237789E+07, -4.368665479972959E+03,  4.921325981900688E+02,  1.475376412733271E+08,  2.860664965397829E-01,
2458888.500000000, A.D. 2020-Feb-09 00:00:00.0000, -1.120613076920073E+08,  9.600540176183006E+07, -4.360136762186885E+03,  4.922164499983795E+02,  1.475627794130483E+08,  2.958503354915890E-01,
2458889.500000000, A.D. 2020-Feb-10 00:00:00.0000, -1.137598096325914E+08,  9.402738460442460E+07, -4.335137010015547E+03,  4.923031264139773E+02,  1.475887643487310E+08,  3.056379920540412E-01,
2458890.500000000, A.D. 2020-Feb-11 00:00:00.0000, -1.154234967641111E+08,  9.202053183191660E+07, -4.288929645068944E+03,  4.923926014066291E+02,  1.476155882767076E+08,  3.152388409944327E-01,
2458891.500000000, A.D. 2020-Feb-12 00:00:00.0000, -1.170519042462159E+08,  8.998541050190082E+07, -4.218219817534089E+03,  4.924847934695571E+02,  1.476432267618609E+08,  3.244637306469760E-01,
2458892.500000000, A.D. 2020-Feb-13 00:00:00.0000, -1.186445586467104E+08,  8.792259094601163E+07, -4.121511197004467E+03,  4.925795704156422E+02,  1.476716401754895E+08,  3.331544735107255E-01,
2458893.500000000, A.D. 2020-Feb-14 00:00:00.0000, -1.202009781392959E+08,  8.583265380490562E+07, -3.999180263146758E+03,  4.926767614669378E+02,  1.477007773196530E+08,  3.412035410362966E-01,
2458894.500000000, A.D. 2020-Feb-15 00:00:00.0000, -1.217206754526676E+08,  8.371619591041729E+07, -3.853288779176772E+03,  4.927761729378503E+02,  1.477305801288712E+08,  3.485591707635671E-01,
2458895.500000000, A.D. 2020-Feb-16 00:00:00.0000, -1.232031624091078E+08,  8.157383409255040E+07, -3.687228945106268E+03,  4.928776035248611E+02,  1.477609882538676E+08,  3.552184159592069E-01,
