jdtdb,calendar,x,y,z,lt,rg,rr
2459541.500000000,A.D. 2021-Nov-23 00:00:00.0000,4.430633732150223E+09,-6.302445287689158E+08,-8.913694950219527E+07,1.493073609942912E+04,4.476122074997187E+09,-3.310306570436069E-02
2459542.500000000,A.D. 2021-Nov-24 00:00:00.0000,4.430697306849621E+09,-6.297755109973886E+08,-8.914804569029659E+07,1.493072654696154E+04,4.476119211239453E+09,-3.318691626534780E-02
2459543.500000000,A.D. 2021-Nov-25 00:00:00.0000,4.430760824142138E+09,-6.293064912025880E+08,-8.915914060693523E+07,1.493071697093908E+04,4.476116340420140E+09,-3.326652779774220E-02
2459544.500000000,A.D. 2021-Nov-26 00:00:00.0000,4.430824284381094E+09,-6.288374694662628E+08,-8.917023460038474E+07,1.493070737258369E+04,4.476113462905587E+09,-3.334189840709026E-02
2459545.500000000,A.D. 2021-Nov-27 00:00:00.0000,4.430887687919984E+09,-6.283684458701003E+08,-8.918132801893204E+07,1.493069775311788E+04,4.476110579062287E+09,-3.341302627548972E-02
2459546.500000000,A.D. 2021-Nov-28 00:00:00.0000,4.430951035112476E+09,-6.278994204957166E+08,-8.919242121087611E+07,1.493068811376465E+04,4.476107689256888E+09,-3.347990966542452E-02
2459547.500000000,A.D. 2021-Nov-29 00:00:00.0000,4.431014326312407E+09,-6.274303934246472E+08,-8.920351452452821E+07,1.493067845574750E+04,4.476104793856186E+09,-3.354254692302854E-02
2459548.500000000,A.D. 2021-Nov-30 00:00:00.0000,4.431077561873772E+09,-6.269613647383385E+08,-8.921460830820996E+07,1.493066878029038E+04,4.476101893227114E+09,-3.360093648090952E-02
2459549.500000000,A.D. 2021-Dec-01 00:00:00.0000,4.431140742150721E+09,-6.264923345181409E+08,-8.922570291025314E+07,1.493065908861770E+04,4.476098987736739E+09,-3.365507686062850E-02
2459550.500000000,A.D. 2021-Dec-02 00:00:00.0000,4.431203867497550E+09,-6.260233028453012E+08,-8.923679867899877E+07,1.493064938195426E+04,4.476096077752248E+09,-3.370496667491032E-02
2459551.500000000,A.D. 2021-Dec-03 00:00:00.0000,4.431266938268700E+09,-6.255542698009567E+08,-8.924789596279636E+07,1.493063966152528E+04,4.476093163640950E+09,-3.375060462965464E-02
2459552.500000000,A.D. 2021-Dec-04 00:00:00.0000,4.431329954818738E+09,-6.250852354661297E+08,-8.925899511000341E+07,1.493062992855630E+04,4.476090245770255E+09,-3.379198952579068E-02
2459553.500000000,A.D. 2021-Dec-05 00:00:00.0000,4.431392917502360E+09,-6.246161999217219E+08,-8.927009646898460E+07,1.493062018427321E+04,4.476087324507679E+09,-3.382912026098817E-02
2459554.500000000,A.D. 2021-Dec-06 00:00:00.0000,4.431455826674380E+09,-6.241471632485114E+08,-8.928120038811100E+07,1.493061042990223E+04,4.476084400220824E+09,-3.386199583125585E-02
2459555.500000000,A.D. 2021-Dec-07 00:00:00.0000,4.431518682689715E+09,-6.236781255271484E+08,-8.929230721575978E+07,1.493060066666979E+04,4.476081473277375E+09,-3.389061533243681E-02
2459556.500000000,A.D. 2021-Dec-08 00:00:00.0000,4.431581485903389E+09,-6.232090868381518E+08,-8.930341730031329E+07,1.493059089580264E+04,4.476078544045094E+09,-3.391497796154603E-02
2459557.500000000,A.D. 2021-Dec-09 00:00:00.0000,4.431644236670512E+09,-6.227400472619085E+08,-8.931453099015906E+07,1.493058111852768E+04,4.476075612891802E+09,-3.393508301795365E-02
2459558.500000000,A.D. 2021-Dec-10 00:00:00.0000,4.431706935346282E+09,-6.222710068786706E+08,-8.932564863368824E+07,1.493057133607205E+04,4.476072680185383E+09,-3.395092990435714E-02
2459559.500000000,A.D. 2021-Dec-11 00:00:00.0000,4.431769582285968E+09,-6.218019657685558E+08,-8.933677057929671E+07,1.493056154966301E+04,4.476069746293764E+09,-3.396251812747019E-02
2459560.500000000,A.D. 2021-Dec-12 00:00:00.0000,4.431832177844905E+09,-6.213329240115469E+08,-8.934789717538324E+07,1.493055176052798E+04,4.476066811584911E+09,-3.396984729834193E-02
2459561.500000000,A.D. 2021-Dec-13 00:00:00.0000,4.431894724494690E+09,-6.208638746661819E+08,-8.935902406571677E+07,1.493054197332181E+04,4.476063877454314E+09,-3.395060755843981E-02
2459562.500000000,A.D. 2021-Dec-14 00:00:00.0000,4.431957224186610E+09,-6.203948108601415E+08,-8.937014653518647E+07,1.493053219099896E+04,4.476060944787704E+09,-3.393595883949684E-02
2459563.500000000,A.D. 2021-Dec-15 00:00:00.0000,4.432019676495605E+09,-6.199257327769268E+08,-8.938126439387441E+07,1.493052241223619E+04,4.476058013188376E+09,-3.392590215677991E-02
2459564.500000000,A.D. 2021-Dec-16 00:00:00.0000,4.432082080996642E+09,-6.194566405999153E+08,-8.939237745186585E+07,1.493051263570990E+04,4.476055082259529E+09,-3.392043862380287E-02
2459565.500000000,A.D. 2021-Dec-17 00:00:00.0000,4.432144437264706E+09,-6.189875345123670E+08,-8.940348551924825E+07,1.493050286009618E+04,4.476052151604264E+09,-3.391956944837457E-02
2459566.500000000,A.D. 2021-Dec-18 00:00:00.0000,4.432206744874787E+09,-6.185184146974316E+08,-8.941458840611187E+07,1.493049308407076E+04,4.476049220825573E+09,-3.392329592697764E-02
2459567.500000000,A.D. 2021-Dec-19 00:00:00.0000,4.432269003401884E+09,-6.180492813381575E+08,-8.942568592254978E+07,1.493048330630897E+04,4.476046289526334E+09,-3.393161943706769E-02
2459568.500000000,A.D. 2021-Dec-20 00:00:00.0000,4.432331212420975E+09,-6.175801346175017E+08,-8.943677787865880E+07,1.493047352548574E+04,4.476043357309297E+09,-3.394454142678929E-02
2459569.500000000,A.D. 2021-Dec-21 00:00:00.0000,4.432393371507036E+09,-6.171109747183430E+08,-8.944786408453947E+07,1.493046374027559E+04,4.476040423777093E+09,-3.396206340063451E-02
2459570.500000000,A.D. 2021-Dec-22 00:00:00.0000,4.432455480235013E+09,-6.166418018234961E+08,-8.945894435029766E+07,1.493045394935258E+04,4.476037488532217E+09,-3.398418690434633E-02
2459571.500000000,A.D. 2021-Dec-23 00:00:00.0000,4.432517538179825E+09,-6.161726161157280E+08,-8.947001848604545E+07,1.493044415139032E+04,4.476034551177028E+09,-3.401091350068639E-02
2459572.500000000,A.D. 2021-Dec-24 00:00:00.0000,4.432579544916365E+09,-6.157034177777780E+08,-8.948108630190286E+07,1.493043434506198E+04,4.476031611313751E+09,-3.404224474171579E-02
