jdtdb,calendar,x,y,z,lt,rg,rr
2460952.500000000,A.D. 2025-Oct-04 00:00:00.0000,-3.510722413080761E+07,-5.930961836369403E+07,-1.626888764632057E+06,2.299608093232862E+02,6.894051627069730E+07,3.115142774256049E+00
2460953.500000000,A.D. 2025-Oct-05 00:00:00.0000,-3.228306567057129E+07,-6.116210270833341E+07,-2.037309175245825E+06,2.307904342664146E+02,6.918923157161586E+07,2.641565913387685E+00
2460954.500000000,A.D. 2025-Oct-06 00:00:00.0000,-2.936234131874743E+07,-6.283167353560068E+07,-2.441638452254802E+06,2.314830972569610E+02,6.939688671211739E+07,2.164787816642459E+00
2460955.500000000,A.D. 2025-Oct-07 00:00:00.0000,-2.635457469167216E+07,-6.431501716281265E+07,-2.838732288825966E+06,2.320379700759316E+02,6.956323339839399E+07,1.685456051536937E+00
2460956.500000000,A.D. 2025-Oct-08 00:00:00.0000,-2.326924241162775E+07,-6.560909937141973E+07,-3.227473527037714E+06,2.324544052327757E+02,6.968807751766190E+07,1.204178837304100E+00
2460957.500000000,A.D. 2025-Oct-09 00:00:00.0000,-2.011579395424714E+07,-6.671114620153622E+07,-3.606768767966527E+06,2.327319259807044E+02,6.977127614482944E+07,7.215343697171308E-01
2460958.500000000,A.D. 2025-Oct-10 00:00:00.0000,-1.690367255730857E+07,-6.761862842133108E+07,-3.975545184741601E+06,2.328702189548958E+02,6.981273533548640E+07,2.380797191239944E-01
2460959.500000000,A.D. 2025-Oct-11 00:00:00.0000,-1.364233707511713E+07,-6.832924954019046E+07,-4.332747538476199E+06,2.328691293285880E+02,6.981240867373727E+07,-2.456405738114007E-01
2460960.500000000,A.D. 2025-Oct-12 00:00:00.0000,-1.034128469254130E+07,-6.884093728097272E+07,-4.677335398036972E+06,2.327286584176000E+02,6.977029655405471E+07,-7.290860824164106E-01
2460961.500000000,A.D. 2025-Oct-13 00:00:00.0000,-7.010074434722119E+06,-6.915183847401384E+07,-5.008280566468459E+06,2.324489636988217E+02,6.968644618682252E+07,-1.211712137562717E+00
2460962.500000000,A.D. 2025-Oct-14 00:00:00.0000,-3.658351423065477E+06,-6.926031738407096E+07,-5.324564719516676E+06,2.320303612429344E+02,6.956095232764721E+07,-1.692961410152669E+00
2460963.500000000,A.D. 2025-Oct-15 00:00:00.0000,-2.958718356119500E+05,-6.916495753147265E+07,-5.625177265102688E+06,2.314733305963490E+02,6.939395874092609E+07,-2.172255311721485E+00
2460964.500000000,A.D. 2025-Oct-16 00:00:00.0000,3.067471469817339E+06,-6.886456712082104E+07,-5.909113436824638E+06,2.307785221823532E+02,6.918566041865520E+07,-2.648985090883297E+00
2460965.500000000,A.D. 2025-Oct-17 00:00:00.0000,6.421622718585836E+06,-6.835818824512765E+07,-6.175372639691785E+06,2.299467673270078E+02,6.893630658611773E+07,-3.122502501086777E+00
2460966.500000000,A.D. 2025-Oct-18 00:00:00.0000,9.756336432846254E+06,-6.764511009072712E+07,-6.422957072424959E+06,2.289790910516209E+02,6.864620453697121E+07,-3.592109912332397E+00
2460967.500000000,A.D. 2025-Oct-19 00:00:00.0000,1.306115018547691E+07,-6.672488642911436E+07,-6.650870657934211E+06,2.278767278107597E+02,6.831572435138460E+07,-4.057049736536801E+00
2460968.500000000,A.D. 2025-Oct-20 00:00:00.0000,1.632535702034059E+07,-6.559735774628626E+07,-6.858118322180055E+06,2.266411403926969E+02,6.794530456224968E+07,-4.516493033696598E+00
2460969.500000000,A.D. 2025-Oct-21 00:00:00.0000,1.953797771441381E+07,-6.426267842835203E+07,-7.043705671741817E+06,2.252740422377058E+02,6.753545884603761E+07,-4.969527164745660E+00
