jdtdb,calendar,x,y,z,lt,rg,rr
2460000.500000000,A.D. 2023-Feb-25 00:00:00.0000,2.443465095097919E+09,-4.577308506713688E+09,-2.166308697459047E+08,1.732261126007581E+04,5.193188208636601E+09,1.150399703356355E+00
2460001.500000000,A.D. 2023-Feb-26 00:00:00.0000,2.443892433257216E+09,-4.577187159877965E+09,-2.167672489018443E+08,1.732294422815531E+04,5.193288029955595E+09,1.161164678385577E+00
2460002.500000000,A.D. 2023-Feb-27 00:00:00.0000,2.444319318688175E+09,-4.577067077071042E+09,-2.169049483727646E+08,1.732328051768296E+04,5.193388847019687E+09,1.171564755720210E+00
2460003.500000000,A.D. 2023-Feb-28 00:00:00.0000,2.444744839001205E+09,-4.576948286193058E+09,-2.170424222162700E+08,1.732361856203189E+04,5.193490190165964E+09,1.172348802919864E+00
2460004.500000000,A.D. 2023-Mar-01 00:00:00.0000,2.445169281991256E+09,-4.576829634732614E+09,-2.171783240504217E+08,1.732395523595811E+04,5.193591122469852E+09,1.162837286718258E+00
2460005.500000000,A.D. 2023-Mar-02 00:00:00.0000,2.445593879791437E+09,-4.576709816813040E+09,-2.173127079296334E+08,1.732428864257130E+04,5.193691075257932E+09,1.151539104487121E+00
2460006.500000000,A.D. 2023-Mar-03 00:00:00.0000,2.446019709873795E+09,-4.576588538805087E+09,-2.174469814607365E+08,1.732461980821273E+04,5.193790356219584E+09,1.148566075248335E+00
2460007.500000000,A.D. 2023-Mar-04 00:00:00.0000,2.446446732737811E+09,-4.576466781975603E+09,-2.175826492732544E+08,1.732495176658208E+04,5.193889874835085E+09,1.156591942400605E+00
2460008.500000000,A.D. 2023-Mar-05 00:00:00.0000,2.446873827757426E+09,-4.576345925950666E+09,-2.177199699445612E+08,1.732528684897891E+04,5.193990330010464E+09,1.168472429585284E+00
2460009.500000000,A.D. 2023-Mar-06 00:00:00.0000,2.447299793528952E+09,-4.576226518101210E+09,-2.178577266610937E+08,1.732562460571554E+04,5.194091586932744E+09,1.173634842003086E+00
2460010.500000000,A.D. 2023-Mar-07 00:00:00.0000,2.447724418603263E+09,-4.576107786214810E+09,-2.179943124845302E+08,1.732596220884222E+04,5.194192797803918E+09,1.167497155028792E+00
2460011.500000000,A.D. 2023-Mar-08 00:00:00.0000,2.448148670352379E+09,-4.575988326465267E+09,-2.181291628167012E+08,1.732629697330484E+04,5.194293157665019E+09,1.155554889037953E+00
2460012.500000000,A.D. 2023-Mar-09 00:00:00.0000,2.448573832854109E+09,-4.575867355553564E+09,-2.182632602528057E+08,1.732662875377548E+04,5.194392622947828E+09,1.148493119389904E+00
2460013.500000000,A.D. 2023-Mar-10 00:00:00.0000,2.449000360407620E+09,-4.575745410665368E+09,-2.183982582098722E+08,1.732696007607246E+04,5.194491950873631E+09,1.152639461844792E+00
2460014.500000000,A.D. 2023-Mar-11 00:00:00.0000,2.449427472056302E+09,-4.575623869606271E+09,-2.185350045280459E+08,1.732729388067944E+04,5.194592022977248E+09,1.164310258720916E+00
2460015.500000000,A.D. 2023-Mar-12 00:00:00.0000,2.449853849370074E+09,-4.575503720970624E+09,-2.186727858928757E+08,1.732763089863430E+04,5.194693058418326E+09,1.173116293933137E+00
2460016.500000000,A.D. 2023-Mar-13 00:00:00.0000,2.450278812016985E+09,-4.575384683334013E+09,-2.188099649154704E+08,1.732796900184123E+04,5.194794419209788E+09,1.171228282582780E+00
2460017.500000000,A.D. 2023-Mar-14 00:00:00.0000,2.450702924136131E+09,-4.575265456103503E+09,-2.189454395379355E+08,1.732830510060642E+04,5.194895179084737E+09,1.160350036539498E+00
2460018.500000000,A.D. 2023-Mar-15 00:00:00.0000,2.451127492134247E+09,-4.575144878852326E+09,-2.190796265398238E+08,1.732863789973029E+04,5.194994949752100E+09,1.150213198126796E+00
2460019.500000000,A.D. 2023-Mar-16 00:00:00.0000,2.451553398947354E+09,-4.575022967541000E+09,-2.192140908145814E+08,1.732896905671474E+04,5.195094228118451E+09,1.149893226596634E+00
2460020.500000000,A.D. 2023-Mar-17 00:00:00.0000,2.451980315473186E+09,-4.574900900505606E+09,-2.193501481069734E+08,1.732930170154107E+04,5.195193952528581E+09,1.159694407408576E+00
2460021.500000000,A.D. 2023-Mar-18 00:00:00.0000,2.452406995113001E+09,-4.574779966100933E+09,-2.194876910121257E+08,1.732963764162204E+04,5.195294664831194E+09,1.170891177314461E+00
2460022.500000000,A.D. 2023-Mar-19 00:00:00.0000,2.452832386054000E+09,-4.574660413987958E+09,-2.196252861178541E+08,1.732997575145174E+04,5.195396027608115E+09,1.173522444294823E+00
2460023.500000000,A.D. 2023-Mar-20 00:00:00.0000,2.453256568567231E+09,-4.574541233040685E+09,-2.197614519584684E+08,1.733031297730140E+04,5.195497125374486E+09,1.165262837503753E+00
2460024.500000000,A.D. 2023-Mar-21 00:00:00.0000,2.453680684060961E+09,-4.574421052263649E+09,-2.198959799922197E+08,1.733064705999669E+04,5.195597280846878E+09,1.153503459708918E+00
2460025.500000000,A.D. 2023-Mar-22 00:00:00.0000,2.454105917348332E+09,-4.574299364157793E+09,-2.200301220082989E+08,1.733097855264134E+04,5.195696659841630E+09,1.148768304054844E+00
2460026.500000000,A.D. 2023-Mar-23 00:00:00.0000,2.454532438560742E+09,-4.574176978431566E+09,-2.201654729998691E+08,1.733131032784877E+04,5.195796123546566E+09,1.155306617845578E+00
2460027.500000000,A.D. 2023-Mar-24 00:00:00.0000,2.454959251668081E+09,-4.574055298656678E+09,-2.203025471543539E+08,1.733164501158755E+04,5.195896459207269E+09,1.167301521445304E+00
2460028.500000000,A.D. 2023-Mar-25 00:00:00.0000,2.455385083926902E+09,-4.573935069930631E+09,-2.204403203374298E+08,1.733198264093262E+04,5.195997677938521E+09,1.174077984107071E+00
2460029.500000000,A.D. 2023-Mar-26 00:00:00.0000,2.455809520377030E+09,-4.573815715293588E+09,-2.205771438933830E+08,1.733232063306872E+04,5.196099005431787E+09,1.169616587837793E+00
2460030.500000000,A.D. 2023-Mar-27 00:00:00.0000,2.456233373929266E+09,-4.573695849767633E+09,-2.207122141464472E+08,1.733265608793271E+04,5.196199572270011E+09,1.157917898493468E+00
2460031.500000000,A.D. 2023-Mar-28 00:00:00.0000,2.456657961198131E+09,-4.573574515349318E+09,-2.208462902554312E+08,1.733298837617285E+04,5.196299189778288E+09,1.149449320901666E+00
2460032.500000000,A.D. 2023-Mar-29 00:00:00.0000,2.457083927227893E+09,-4.573452036830025E+09,-2.209810175842450E+08,1.733331970295093E+04,5.196398519047487E+09,1.151796921829357E+00
2460033.500000000,A.D. 2023-Mar-30 00:00:00.0000,2.457510669526826E+09,-4.573329731754953E+09,-2.211174584643087E+08,1.733365313807749E+04,5.196498480383664E+09,1.162884011946772E+00
2460034.500000000,A.D. 2023-Mar-31 00:00:00.0000,2.457936876662008E+09,-4.573208734088754E+09,-2.212551448737299E+08,1.733398987567564E+04,5.196599431775913E+09,1.172841571080674E+00
2460035.500000000,A.D. 2023-Apr-01 00:00:00.0000,2.458361697908226E+09,-4.573088983586024E+09,-2.213924970166936E+08,1.733432817138232E+04,5.196700850277353E+09,1.172815153695046E+00
2460036.500000000,A.D. 2023-Apr-02 00:00:00.0000,2.458785501375240E+09,-4.572969279692743E+09,-2.215282314820163E+08,1.733466489816307E+04,5.196801798426625E+09,1.162849912363873E+00
2460037.500000000,A.D. 2023-Apr-03 00:00:00.0000,2.459209546590476E+09,-4.572848351473707E+09,-2.216625061044307E+08,1.733499833508821E+04,5.196901760302001E+09,1.151862383696900E+00
2460038.500000000,A.D. 2023-Apr-04 00:00:00.0000,2.459634860936700E+09,-4.572725992171097E+09,-2.217967804602444E+08,1.733532970532862E+04,5.197001102600881E+09,1.149689226633660E+00
2460039.500000000,A.D. 2023-Apr-05 00:00:00.0000,2.460061322062572E+09,-4.572603244228642E+09,-2.219325128313000E+08,1.733566208430100E+04,5.197100747310000E+09,1.158291624324693E+00
2460040.500000000,A.D. 2023-Apr-06 00:00:00.0000,2.460487767767325E+09,-4.572481468137162E+09,-2.220698586259155E+08,1.733599765280361E+04,5.197201348216226E+09,1.170013452883549E+00
2460041.500000000,A.D. 2023-Apr-07 00:00:00.0000,2.460913033326238E+09,-4.572361129031435E+09,-2.222075331066098E+08,1.733633575298869E+04,5.197302708101760E+09,1.174425958793641E+00
2460042.500000000,A.D. 2023-Apr-08 00:00:00.0000,2.461336989490068E+09,-4.572241382630425E+09,-2.223439570799820E+08,1.733667347650390E+04,5.197403955064509E+09,1.167617388450199E+00
2460043.500000000,A.D. 2023-Apr-09 00:00:00.0000,2.461760658162514E+09,-4.572120827413850E+09,-2.224786647224212E+08,1.733700825737503E+04,5.197504319844757E+09,1.155684108386253E+00
2460044.500000000,A.D. 2023-Apr-10 00:00:00.0000,2.462185301552387E+09,-4.571998754842200E+09,-2.226127203919630E+08,1.733734016285098E+04,5.197603822603216E+09,1.149305439444393E+00
2460045.500000000,A.D. 2023-Apr-11 00:00:00.0000,2.462611295144520E+09,-4.571875782567858E+09,-2.227477691433008E+08,1.733767183485286E+04,5.197703255367909E+09,1.154200301590231E+00
2460046.500000000,A.D. 2023-Apr-12 00:00:00.0000,2.463037792674167E+09,-4.571753302660954E+09,-2.228845678438854E+08,1.733800612976288E+04,5.197803474460680E+09,1.166018729928819E+00
2460047.500000000,A.D. 2023-Apr-13 00:00:00.0000,2.463463482136202E+09,-4.571632239163635E+09,-2.230223108812811E+08,1.733834356967724E+04,5.197904636402035E+09,1.174242053088141E+00
2460048.500000000,A.D. 2023-Apr-14 00:00:00.0000,2.463887755527544E+09,-4.571512224878166E+09,-2.231593494385843E+08,1.733868187901325E+04,5.198006058989440E+09,1.171561849003945E+00
2460049.500000000,A.D. 2023-Apr-15 00:00:00.0000,2.464311250812821E+09,-4.571391928590322E+09,-2.232946610802279E+08,1.733901801339485E+04,5.198106829541918E+09,1.160389858830494E+00
2460050.500000000,A.D. 2023-Apr-16 00:00:00.0000,2.464735283876249E+09,-4.571270241795094E+09,-2.234287623869076E+08,1.733935087556749E+04,5.198206619110831E+09,1.150721834946056E+00
2460051.500000000,A.D. 2023-Apr-17 00:00:00.0000,2.465160674198335E+09,-4.571147268661577E+09,-2.235632490901501E+08,1.733968229692471E+04,5.198305976734144E+09,1.151215593962250E+00
2460052.500000000,A.D. 2023-Apr-18 00:00:00.0000,2.465587012986014E+09,-4.571024233171201E+09,-2.236993712163653E+08,1.734001540177336E+04,5.198405839055494E+09,1.161449673632830E+00
2460053.500000000,A.D. 2023-Apr-19 00:00:00.0000,2.466013028874494E+09,-4.570902386065886E+09,-2.238369178903403E+08,1.734035181758249E+04,5.198506693977820E+09,1.172313925172091E+00
2460054.500000000,A.D. 2023-Apr-20 00:00:00.0000,2.466437722162498E+09,-4.570781889798891E+09,-2.239744067317252E+08,1.734069022530538E+04,5.198608146060874E+09,1.174144753357026E+00
2460055.500000000,A.D. 2023-Apr-21 00:00:00.0000,2.466861255662213E+09,-4.570661674100058E+09,-2.241104053609288E+08,1.734102753639884E+04,5.198709269382693E+09,1.165330954162534E+00
2460056.500000000,A.D. 2023-Apr-22 00:00:00.0000,2.467284810218902E+09,-4.570540389630473E+09,-2.242448087441602E+08,1.734136164676929E+04,5.198809433151893E+09,1.153759286440961E+00
2460057.500000000,A.D. 2023-Apr-23 00:00:00.0000,2.467709531665363E+09,-4.570417612160035E+09,-2.243789342653692E+08,1.734169331628518E+04,5.198908865171305E+09,1.149786811840759E+00
2460058.500000000,A.D. 2023-Apr-24 00:00:00.0000,2.468135507500443E+09,-4.570294221884918E+09,-2.245143459146125E+08,1.734202549113243E+04,5.199008448685250E+09,1.156981552623364E+00
2460059.500000000,A.D. 2023-Apr-25 00:00:00.0000,2.468561689252872E+09,-4.570171617121050E+09,-2.246514580544279E+08,1.734236067200815E+04,5.199108933383855E+09,1.168941349304908E+00
2460060.500000000,A.D. 2023-Apr-26 00:00:00.0000,2.468986828614799E+09,-4.570050466788260E+09,-2.247891670275364E+08,1.734269868392631E+04,5.199210266807633E+09,1.175023005209572E+00
2460061.500000000,A.D. 2023-Apr-27 00:00:00.0000,2.469410590076837E+09,-4.569930114731055E+09,-2.249258357314188E+08,1.734303683415973E+04,5.199311641697285E+09,1.169826163077288E+00
2460062.500000000,A.D. 2023-Apr-28 00:00:00.0000,2.469833850261150E+09,-4.569809164290688E+09,-2.250607528686602E+08,1.734337231280719E+04,5.199412215665611E+09,1.158007328139440E+00
2460063.500000000,A.D. 2023-Apr-29 00:00:00.0000,2.470257916863727E+09,-4.569686723831117E+09,-2.251947685086694E+08,1.734370470055969E+04,5.199511863006945E+09,1.150141233991555E+00
2460064.500000000,A.D. 2023-Apr-30 00:00:00.0000,2.470683361228857E+09,-4.569563203354383E+09,-2.253295362021453E+08,1.734403634487129E+04,5.199611287470301E+09,1.153274942174229E+00
2460065.500000000,A.D. 2023-May-01 00:00:00.0000,2.471109508244060E+09,-4.569439948292988E+09,-2.254660364276531E+08,1.734437026286120E+04,5.199711393565264E+09,1.164629126730006E+00
2460066.500000000,A.D. 2023-May-02 00:00:00.0000,2.471535039721560E+09,-4.569318038376687E+09,-2.256037024538293E+08,1.734470744828349E+04,5.199812479211813E+09,1.174096278435179E+00
2460067.500000000,A.D. 2023-May-03 00:00:00.0000,2.471959169931712E+09,-4.569197325448440E+09,-2.257409268626647E+08,1.734504598747163E+04,5.199913970707157E+09,1.173258051884901E+00
2460068.500000000,A.D. 2023-May-04 00:00:00.0000,2.472382345830941E+09,-4.569076565636192E+09,-2.258764942763603E+08,1.734538276587751E+04,5.200014934333257E+09,1.162882184998670E+00
2460069.500000000,A.D. 2023-May-05 00:00:00.0000,2.472805849348224E+09,-4.568954527968873E+09,-2.260106657022054E+08,1.734571624592714E+04,5.200114909137029E+09,1.152250991227547E+00
2460070.500000000,A.D. 2023-May-06 00:00:00.0000,2.473230653684078E+09,-4.568831093386213E+09,-2.261449469131606E+08,1.734604784143990E+04,5.200214318970862E+09,1.150881408000076E+00
2460071.500000000,A.D. 2023-May-07 00:00:00.0000,2.473656554105046E+09,-4.568707361384172E+09,-2.262807440796015E+08,1.734638065527951E+04,5.200314094049896E+09,1.160015169222451E+00
2460072.500000000,A.D. 2023-May-08 00:00:00.0000,2.474082351404594E+09,-4.568584667961193E+09,-2.264181088437581E+08,1.734671670816791E+04,5.200414840171326E+09,1.171520963443318E+00
2460073.500000000,A.D. 2023-May-09 00:00:00.0000,2.474506922103251E+09,-4.568463394197031E+09,-2.265556936109362E+08,1.734705513768559E+04,5.200516298788294E+09,1.175161265729801E+00
2460074.500000000,A.D. 2023-May-10 00:00:00.0000,2.474930219645473E+09,-4.568342627081681E+09,-2.266919531659722E+08,1.734739296862858E+04,5.200617577957079E+09,1.167710803282267E+00
2460075.500000000,A.D. 2023-May-11 00:00:00.0000,2.475353316413282E+09,-4.568220972952004E+09,-2.268265223068068E+08,1.734772776556907E+04,5.200717947554798E+09,1.155837240249995E+00
2460076.500000000,A.D. 2023-May-12 00:00:00.0000,2.475777447740652E+09,-4.568097800846240E+09,-2.269605429534562E+08,1.734805980746806E+04,5.200817491211857E+09,1.150165161807202E+00
2460077.500000000,A.D. 2023-May-13 00:00:00.0000,2.476202908794994E+09,-4.567973806462479E+09,-2.270956452984631E+08,1.734839183993141E+04,5.200917032040178E+09,1.155780183342416E+00
2460078.500000000,A.D. 2023-May-14 00:00:00.0000,2.476628791333747E+09,-4.567850390650407E+09,-2.272324922464123E+08,1.734872662238413E+04,5.201017397294577E+09,1.167687872601794E+00
2460079.500000000,A.D. 2023-May-15 00:00:00.0000,2.477053794943687E+09,-4.567728409273151E+09,-2.273701890752633E+08,1.734906446620187E+04,5.201118680323116E+09,1.175288764987340E+00
2460080.500000000,A.D. 2023-May-16 00:00:00.0000,2.477477386330890E+09,-4.567607410830243E+09,-2.275070820415063E+08,1.734940295918302E+04,5.201220157965949E+09,1.171827260600434E+00
2460081.500000000,A.D. 2023-May-17 00:00:00.0000,2.477900274761860E+09,-4.567486038750762E+09,-2.276422323653522E+08,1.734973911612594E+04,5.201320935282144E+09,1.160410142323700E+00
2460082.500000000,A.D. 2023-May-18 00:00:00.0000,2.478323780391096E+09,-4.567363240851727E+09,-2.277762543956282E+08,1.735007204226513E+04,5.201420744027741E+09,1.151250727674004E+00
2460083.500000000,A.D. 2023-May-19 00:00:00.0000,2.478748655992458E+09,-4.567239209116176E+09,-2.279107683885212E+08,1.735040373403170E+04,5.201520182717742E+09,1.152550476861247E+00
2460084.500000000,A.D. 2023-May-20 00:00:00.0000,2.479174414696722E+09,-4.567115208345437E+09,-2.280469537151487E+08,1.735073729576357E+04,5.201620182009234E+09,1.163166230748792E+00
