jdtdb,calendar,x,y,z,lt,rg,rr
2458869.500000000,A.D. 2020-Jan-21 00:00:00.0000,-1.697707994373776E+08,-1.615608199783212E+08,7.800139540971667E+05,7.817409680440916E+02,2.343600463292376E+08,-2.092054388601425E+00
2458870.500000000,A.D. 2020-Jan-22 00:00:00.0000,-1.682425355069159E+08,-1.628917707626044E+08,7.146282506187707E+05,7.811369655531751E+02,2.341789709378477E+08,-2.099481481497779E+00
2458871.500000000,A.D. 2020-Jan-23 00:00:00.0000,-1.667012924104638E+08,-1.642101562144666E+08,6.491874325670898E+05,7.805308434789073E+02,2.339972601113549E+08,-2.106763385863758E+00
2458872.500000000,A.D. 2020-Jan-24 00:00:00.0000,-1.651471590573607E+08,-1.655158451107048E+08,5.836964315076545E+05,7.799226438378519E+02,2.338149264460081E+08,-2.113898870025925E+00
2458873.500000000,A.D. 2020-Jan-25 00:00:00.0000,-1.635802257155899E+08,-1.668087065431938E+08,5.181602056913376E+05,7.793124089971719E+02,2.336319826431635E+08,-2.120886720656912E+00
2458874.500000000,A.D. 2020-Jan-26 00:00:00.0000,-1.620005840180778E+08,-1.680886099320390E+08,4.525837399656549E+05,7.787001816747130E+02,2.334484415093087E+08,-2.127725734618171E+00
2458875.500000000,A.D. 2020-Jan-27 00:00:00.0000,-1.604083269687991E+08,-1.693554250388621E+08,3.869720456373617E+05,7.780860049385492E+02,2.332643159559278E+08,-2.134414708907916E+00
2458876.500000000,A.D. 2020-Jan-28 00:00:00.0000,-1.588035489487244E+08,-1.706090219804411E+08,3.213301602876186E+05,7.774699222066414E+02,2.330796189993978E+08,-2.140952437781493E+00
2458877.500000000,A.D. 2020-Jan-29 00:00:00.0000,-1.571863457217844E+08,-1.718492712427403E+08,2.556631476182565E+05,7.768519772471113E+02,2.328943637610716E+08,-2.147337709033819E+00
2458878.500000000,A.D. 2020-Jan-30 00:00:00.0000,-1.555568144408666E+08,-1.730760436951493E+08,1.899760973549858E+05,7.762322141787367E+02,2.327085634674259E+08,-2.153569298198850E+00
2458879.500000000,A.D. 2020-Jan-31 00:00:00.0000,-1.539150536536353E+08,-1.742892106047921E+08,1.242741251257285E+05,7.756106774708446E+02,2.325222314500297E+08,-2.159645972445009E+00
2458880.500000000,A.D. 2020-Feb-01 00:00:00.0000,-1.522611633080387E+08,-1.754886436509775E+08,5.856237224376202E+04,7.749874119424736E+02,2.323353811452927E+08,-2.165566504674520E+00
2458881.500000000,A.D. 2020-Feb-02 00:00:00.0000,-1.505952447576374E+08,-1.766742149399515E+08,-7.153994553424418E+03,7.743624627615396E+02,2.321480260942154E+08,-2.171329685420320E+00
2458882.500000000,A.D. 2020-Feb-03 00:00:00.0000,-1.489174007669666E+08,-1.778457970199386E+08,-7.286978330986202E+04,7.737358754444496E+02,2.319601799422734E+08,-2.176934324016624E+00
2458883.500000000,A.D. 2020-Feb-04 00:00:00.0000,-1.472277355169378E+08,-1.790032628962975E+08,-1.385797769806162E+05,7.731076958557214E+02,2.317718564393032E+08,-2.182379236805948E+00
2458884.500000000,A.D. 2020-Feb-05 00:00:00.0000,-1.455263546100937E+08,-1.801464860467353E+08,-2.042787335654795E+05,7.724779702070406E+02,2.315830694392194E+08,-2.187663229397262E+00
2458885.500000000,A.D. 2020-Feb-06 00:00:00.0000,-1.438133650756007E+08,-1.812753404367756E+08,-2.699613863176107E+05,7.718467450560115E+02,2.313938328996410E+08,-2.192785089040960E+00
2458886.500000000,A.D. 2020-Feb-07 00:00:00.0000,-1.420888753740671E+08,-1.823897005356311E+08,-3.356224440011829E+05,7.712140673052214E+02,2.312041608816098E+08,-2.197743597775676E+00
2458887.500000000,A.D. 2020-Feb-08 00:00:00.0000,-1.403529954023375E+08,-1.834894413323418E+08,-4.012565911216810E+05,7.705799842015798E+02,2.310140675493928E+08,-2.202537552505336E+00
2458888.500000000,A.D. 2020-Feb-09 00:00:00.0000,-1.386058364982660E+08,-1.845744383519375E+08,-4.668584881074429E+05,7.699445433352992E+02,2.308235671701769E+08,-2.207165768920977E+00
2458889.500000000,A.D. 2020-Feb-10 00:00:00.0000,-1.368475114453295E+08,-1.856445676716395E+08,-5.324227715069205E+05,7.693077926382393E+02,2.306326741135721E+08,-2.211627073289309E+00
2458890.500000000,A.D. 2020-Feb-11 00:00:00.0000,-1.350781344770308E+08,-1.866997059373429E+08,-5.979440542437136E+05,7.686697803821584E+02,2.304414028510874E+08,-2.215920298488852E+00
2458891.500000000,A.D. 2020-Feb-12 00:00:00.0000,-1.332978212812366E+08,-1.877397303805384E+08,-6.634169258735925E+05,7.680305551776056E+02,2.302497679557990E+08,-2.220044282461827E+00
2458892.500000000,A.D. 2020-Feb-13 00:00:00.0000,-1.315066890045634E+08,-1.887645188355769E+08,-7.288359527774304E+05,7.673901659734317E+02,2.300577841022031E+08,-2.223997858364572E+00
2458893.500000000,A.D. 2020-Feb-14 00:00:00.0000,-1.297048562566780E+08,-1.897739497571167E+08,-7.941956783309579E+05,7.667486620562005E+02,2.298654660660397E+08,-2.227779844560450E+00
2458894.500000000,A.D. 2020-Feb-15 00:00:00.0000,-1.278924431142669E+08,-1.907679022377551E+08,-8.594906231568307E+05,7.661060930490461E+02,2.296728287239502E+08,-2.231389052583022E+00
2458895.500000000,A.D. 2020-Feb-16 00:00:00.0000,-1.260695711246578E+08,-1.917462560259925E+08,-9.247152854728997E+05,7.654625089103874E+02,2.294798870530919E+08,-2.234824306696196E+00
2458896.500000000,A.D. 2020-Feb-17 00:00:00.0000,-1.242363633092954E+08,-1.927088915445937E+08,-9.898641414388418E+05,7.648179599330922E+02,2.292866561308872E+08,-2.238084454484051E+00
2458897.500000000,A.D. 2020-Feb-18 00:00:00.0000,-1.223929441671825E+08,-1.936556899092017E+08,-1.054931645429552E+06,7.641724967439065E+02,2.290931511348527E+08,-2.241168360714898E+00
